\epsilon	0.2785058711
\leq	0.2967050638
\sqrt	0.1661962221
\alpha	0.2762492544
!	0.1400407503
'	0.2712428596
+	0.1791238714
(	0.0831918595
)	0.0837193701
/	0.1928817874
\rho	0.2342809893
\prod	0.2866806426
,	0.264237294
-	0.1482635104
3	0.2191365532
2	0.1984873773
1	0.2147496005
0	0.2156926672
7	0.3520881068
4	0.2324417059
8	0.2427990814
=	0.2083831423
\phi	0.2690168398
D	0.2300157297
E	0.2699726609
F	0.2634380768
A	0.2241687023
B	0.1987729376
C	0.1843336578
\Phi	0.2241539104
\Delta	0.2106144549
M	0.2893370518
\lt	0.1795858957
V	0.2970087381
\approx	0.214365366
\cdots	0.4084920665
P	0.1877222967
S	0.2118495672
R	0.1948203662
\theta	0.1889296716
]	0.2139869154
\Rightarrow	0.2558655733
\sigma	0.3529677303
\sum	0.2234870038
[	0.1347617778
Z	0.2985739539
f	0.2916019593
g	0.2908643974
d	0.2037848537
e	0.1817550449
b	0.1591216902
c	0.1669472151
a	0.175697161
||	0.1604261136
n	0.1984462767
o	0.2144273725
\equiv	0.2521938773
\neq	0.3360260885
l	0.3913342371
m	0.2413895509
j	0.2587918929
\circ	0.3127473448
k	0.2549755587
h	0.2368298242
i	0.2816604787
\frac	0.1134927355
w	0.2139206632
v	0.29423125
u	0.3517945274
t	0.2631464665
s	0.1868756527
r	0.2531526721
\pm	0.3574820257
q	0.2250685227
p	0.2389353118
\pi	0.260129131
|	0.0254926195
\int	0.1752783279
{	0.1153591128
z	0.2485722206
y	0.2251711327
x	0.2310757978
