|	158.6208766946
)	29.072929131
-	27.8668092754
(	27.5269771324
\frac	23.2073792486
[	22.137019552
/	18.8507452549
{	14.8708215253
]	14.5274831497
'	13.5384882588
!	12.6532035679
\int	12.5151134155
||	11.7789105299
\lt	11.2792905204
1	11.2281352342
,	10.6301054378
c	10.2451827886
b	10.22793426
l	9.9529348337
\sqrt	9.6474368446
C	9.4196670507
+	8.4452623437
a	8.287706108
s	8.2269756518
=	8.0464084082
\theta	7.8764633913
d	7.8508996216
2	7.8260470164
o	7.7914022625
n	7.7510974865
e	7.6458696509
\rho	7.5645544371
0	7.5349046741
4	7.439829472
\sum	7.3990723579
P	7.2509688581
i	7.0425732827
B	7.0251340189
R	6.9797988555
D	6.954430075
r	6.9469847985
y	6.9244225023
p	6.7206170436
\Delta	6.6416514532
h	6.5382710586
8	6.4042638154
A	6.3772920886
3	6.3697017489
u	6.340867033
\approx	6.3032622466
q	6.297282503
S	6.2320269528
x	6.2274066329
Z	6.200849693
j	6.1675422275
z	6.1606862746
m	6.1124835235
w	6.0884573987
t	6.0198525204
v	5.9829983506
E	5.9183357915
\epsilon	5.679705435
k	5.5464691503
V	5.5196351988
\pi	5.4475011345
\circ	5.3921922095
\prod	5.3380978194
\Phi	5.3205498673
\alpha	5.2098379258
\phi	5.154418246
\Rightarrow	5.0475421243
\equiv	4.9856944143
g	4.946947262
f	4.8416457555
M	4.7918640591
\leq	4.4945858177
F	4.4874623422
\sigma	4.3872776177
7	4.2538794712
\neq	3.9177717823
\pm	3.6867567638
\cdots	3.412891658
