|	0.0797063038
)	0.2075507343
-	0.6672687531
(	0.1788517684
\frac	0.1802373677
[	0.1405233443
/	0.2974371612
{	0.1101932973
]	0.2651304007
'	0.4787856638
!	0.1443580985
\int	0.2102089673
||	0.2019037753
\lt	0.2013787329
1	0.5989199281
,	0.3478711545
c	0.2857931852
b	0.2448804379
l	0.4254891276
\sqrt	0.1840267479
C	0.2338636816
+	0.2289280891
a	0.3099414706
s	0.2364838123
=	0.273863703
\theta	0.2311215401
d	0.258526057
2	0.318187356
o	0.2774040401
n	0.2538886666
e	0.196518451
\rho	0.2641912401
0	0.328428477
4	0.250398159
\sum	0.2415210605
P	0.2002838999
i	0.406367898
B	0.234563455
R	0.1906767637
D	0.268006742
r	0.4461504519
y	0.2903520465
p	0.2958911061
\Delta	0.1980819404
h	0.2270600051
8	0.2850460708
A	0.2472516894
3	0.2261653244
u	0.4102035761
\approx	0.1790476888
q	0.2191271037
S	0.2087055892
x	0.3085000813
Z	0.3190975785
j	0.2580822706
z	0.2813951075
m	0.2582410276
w	0.2123509943
t	0.3272401094
v	0.2753759623
E	0.3293094933
\epsilon	0.287409842
k	0.2757664919
V	0.2847591043
\pi	0.3080092371
\circ	0.3280678391
\prod	0.2882437706
\Phi	0.2077987194
\alpha	0.2590132356
\phi	0.2527230978
\Rightarrow	0.2490385324
\equiv	0.2321326435
g	0.327126801
f	0.2619429231
M	0.2867049873
\leq	0.2835282683
F	0.2549985349
\sigma	0.3061626554
7	0.4054261148
\neq	0.3118503988
\pm	0.3396966159
\cdots	0.4093115032
