\epsilon	0.2360705532
\leq	0.4094647852
\sqrt	0.0846996737
\alpha	0.3544317727
!	0.2980816797
'	0.2797962188
+	0.1770862941
(	0.0636829028
)	0.049226327
/	0.1493996339
\rho	0.2323948501
\prod	0.2084502275
,	0.2502016976
-	0.1180719637
3	0.216645706
2	0.1295541542
1	0.1610564258
0	0.1365959437
7	0.3576805981
4	0.2441412305
8	0.2308995536
=	0.1202925818
\phi	0.3666498396
D	0.1989515307
E	0.2148592336
F	0.3352010306
A	0.1834491607
B	0.2122710997
C	0.0980097133
\Phi	0.2920896547
\Delta	0.2240128402
M	0.3022346829
\lt	0.1947577434
V	0.3583363015
\approx	0.2910139873
\cdots	0.3176374155
P	0.1547741701
S	0.2195469835
R	0.2232705474
\theta	0.1728399331
]	0.2309935767
\Rightarrow	0.2351006098
\sigma	0.3589854755
\sum	0.1852393656
[	0.2360283324
Z	0.2822117932
f	0.4323781347
g	0.2490808993
d	0.1990911458
e	0.150707155
b	0.1277135458
c	0.0969123453
a	0.1432134077
||	0.232192904
n	0.1680567948
o	0.1860956013
\equiv	0.3391279324
\neq	0.5313750709
l	0.6226208528
m	0.260228032
j	0.3053289752
\circ	0.2714665998
k	0.2235003139
h	0.3446205673
i	0.1898512358
\frac	0.0696566323
w	0.1696379478
v	0.2356277254
u	0.3951545873
t	0.2906546516
s	0.1506015966
r	0.1762375968
\pm	0.2425106651
q	0.2357783697
p	0.2081857031
\pi	0.2475160204
|	0.0586986013
\int	0.1329373914
{	0.1178969176
z	0.2463471768
y	0.2069797735
x	0.2338502148
