|	0.0063043404
)	0.034396259
-	0.0358849838
(	0.0363279991
\frac	0.0430897427
[	0.0451731995
/	0.0530483006
{	0.0672457805
]	0.068835048
'	0.0738634906
!	0.079031369
\int	0.0799033909
||	0.0848974952
\lt	0.0886580586
1	0.0890619839
,	0.0940724441
c	0.0976068481
b	0.0977714536
l	0.1004728773
\sqrt	0.1036544749
C	0.1061608648
+	0.1184095839
a	0.1206606493
s	0.1215513504
=	0.1242790509
\theta	0.1269605342
d	0.1273739378
2	0.1277784299
o	0.1283466013
n	0.1290139882
e	0.1307895695
\rho	0.1321954926
0	0.1327156803
4	0.1344116829
\sum	0.1351520774
P	0.1379126044
i	0.1419935526
B	0.1423460389
R	0.1432706043
D	0.1437932353
r	0.1439473425
y	0.1444163755
p	0.1487958611
\Delta	0.1505649622
h	0.1529456321
8	0.1561459722
A	0.1568063664
3	0.1569932219
u	0.1577071392
\approx	0.1586480081
q	0.1587986563
S	0.160461437
x	0.1605804886
Z	0.1612682212
j	0.1621391412
z	0.1623195786
m	0.163599623
w	0.1642452159
t	0.1661170264
v	0.1671402767
E	0.1689664181
\epsilon	0.1760654688
k	0.1802948818
V	0.1811713934
\pi	0.1835704069
\circ	0.1854533298
\prod	0.187332648
\Phi	0.1879504985
\alpha	0.1919445507
\phi	0.1940083152
\Rightarrow	0.1981162267
\equiv	0.2005738653
g	0.2021448677
f	0.2065413396
M	0.2086870553
\leq	0.2224899113
F	0.2228430957
\sigma	0.2279317807
7	0.2350795331
\neq	0.2552471291
\pm	0.2712411108
\cdots	0.2930066642
